gene_name,CT_F_logFC,CT_F_FDR,CT_M_logFC,CT_M_FDR,SB_6_logFC,SB_6_FDR,SB_6_sexbias,SB_19_logFC,SB_19_FDR,SB_19_sexbias,CT_SB_inter_logFC,CT_SB_inter_FDR,Dvir_FBN,Dvir_FBsym,vir_log2FoldChange,vir_padj,vir_sexbias
augustus_masked-scaffold1-size140626-abinit-gene-0.10,-0.0668378767411209,0.769123390241693,-0.0278054182223468,0.921263701576746,-0.343984393766121,0.0496381334479322,male_biased,-0.304951935247347,0.0787826643162154,Unbiased,-0.0390324585187741,0.95641616420929,FBgn0201005,Dvir\GJ13786,-0.14959167661496,0.924983481922632,Unbiased
augustus_masked-scaffold1-size140626-abinit-gene-0.6,-0.443395659717123,0.0840540747736421,-0.340081212444081,0.183204237612584,0.435107192859769,0.0261827074989247,female_biased,0.538421640132811,0.00935270550008142,female_biased,-0.103314447273042,0.89573640333361,FBgn0041650,Dvir\TfIIB,-0.190183124834996,0.886757258535135,Unbiased
augustus_masked-scaffold1-size140626-abinit-gene-0.8,-0.187535451072025,0.314080708835865,-0.0482838166429631,0.837322260814224,0.27753234471855,0.0615729714672982,Unbiased,0.416783979147612,0.0103697219823154,female_biased,-0.139251634429062,0.811743951840743,FBgn0200994,Dvir\GJ13775,-0.348012670007832,0.726005084448716,Unbiased
augustus_masked-scaffold1-size140626-abinit-gene-1.1,-0.440575732330086,0.149062252318815,0.0765842630224932,0.839589266796906,1.57012148489763,0.0000248462143204838,female_biased,2.08728148025021,0.0000022192949542734,female_biased,-0.517159995352577,0.517537987619756,FBgn0201113,Dvir\GJ13894,-1.53302632717244,0.0606128808646977,Unbiased
augustus_masked-scaffold1-size140626-abinit-gene-1.6,0.0777968831991409,0.892538238285436,1.03412557787439,0.0761323817679918,0.635670051877092,0.115833620247788,Unbiased,1.59199874655234,0.00176720980636242,female_biased,-0.956328694675245,0.488510412727251,FBgn0201795,Dvir\GJ14588,-1.83515962237286,0.000907113120275112,female_biased
augustus_masked-scaffold10-size128359-abinit-gene-0.0,-0.393391247998234,0.0836050927293954,0.0023781651492012,0.993830213263609,0.0760121527713816,0.631614209726093,Unbiased,0.471781565918817,0.00974763202055681,female_biased,-0.395769413147434,0.46891030229631,FBgn0198740,Dvir\GJ11482,-1.0832133005885,0.383144314081418,Unbiased
augustus_masked-scaffold10-size128359-abinit-gene-0.2,-0.0720974425155887,0.629745468247318,0.00936054012539451,0.961039299033605,0.544245224368631,0.000366475218930256,female_biased,0.625703207009614,0.000117613930398862,female_biased,-0.0814579826409832,0.862137954160366,FBgn0198742,Dvir\GJ11484,-1.59512227252232,0.0228803819362851,female_biased
augustus_masked-scaffold10-size128359-abinit-gene-0.5,-1.02894860997734,0.058550189037066,-0.388271240612059,0.452748222723135,-0.916423585491997,0.0212061993748809,male_biased,-0.275746216126714,0.439514676122559,Unbiased,-0.640677369365282,0.628273407948685,FBgn0207649,Dvir\GJ20509,-0.229239985154562,0.873135884903227,Unbiased
augustus_masked-scaffold10-size128359-abinit-gene-0.6,-0.133350378145637,0.730687699358415,0.0703460542822773,0.882629374300789,-0.748608437881902,0.0177747238933956,male_biased,-0.544912005453988,0.0686749737669387,Unbiased,-0.203696432427914,0.865419837285904,FBgn0208952,Dvir\GJ21834,-0.0211206846136272,0.989773479964307,Unbiased
augustus_masked-scaffold1006-size83466-abinit-gene-0.0,0.750168415223333,0.150656154558578,0.591676469705833,0.282261146485684,1.69784704759417,0.000891337533150835,female_biased,1.53935510207667,0.0017721648131786,female_biased,0.158491945517503,0.927685668263325,FBgn0211248,Dvir\GJ24164,-0.727865791323451,0.407974014865607,Unbiased
augustus_masked-scaffold1007-size26361-abinit-gene-0.0,0.540089187098189,0.113494825954398,0.315390266517178,0.36748339713436,0.773402048347614,0.00674020176761385,female_biased,0.548703127766604,0.0381532944341331,female_biased,0.224698920581013,0.824158857453956,FBgn0202089,Dvir\GJ14885,-0.822608337585984,0.269217682128379,Unbiased
augustus_masked-scaffold1008-size69378-abinit-gene-0.5,-0.00421657168568867,0.982226776706653,-0.021372113807962,0.922376456264835,-0.299325976726221,0.033013497524649,male_biased,-0.316481518848494,0.0269801703947778,male_biased,0.0171555421222721,0.976519999707149,FBgn0197703,Dvir\GJ10422,0.101941097711031,0.941282394708334,Unbiased
augustus_masked-scaffold1008-size69378-abinit-gene-0.6,-0.456058437014205,0.408941056318005,0.0731431223210012,0.917088572127915,-3.09856468123849,0.0000243623664881901,male_biased,-2.56936312190329,0.0000875275516920306,male_biased,-0.529201559335207,0.759116206873944,FBgn0198022,Dvir\GJ10745,0.374047976802797,0.687966204024906,Unbiased
augustus_masked-scaffold1008-size69378-abinit-gene-0.9,-0.332252565486017,0.0583790556031194,-0.41642049325916,0.0220086031468929,-0.0312916417313441,0.790843228904104,Unbiased,-0.115459569504487,0.322719188860597,Unbiased,0.0841679277731425,0.86456974813439,FBgn0198024,Dvir\GJ10747,-1.28365210121276,0.232148483152176,Unbiased
augustus_masked-scaffold101-size120241-abinit-gene-0.0,-0.322593447234559,0.249242429262985,-0.424310015649284,0.160089265490449,0.491394747349797,0.0320030679186774,female_biased,0.389678178935072,0.0790362762643077,Unbiased,0.101716568414725,0.917319216012182,FBgn0201879,Dvir\GJ14672,0.0658488020943285,0.964255804872159,Unbiased
augustus_masked-scaffold101-size120241-abinit-gene-0.3,1.4867295492489,0.0336159687944281,0.494255183009262,0.416325334449677,-1.5452226656731,0.00318811717311725,male_biased,-2.53769703191274,0.000131348361901466,male_biased,0.992474366239643,0.517537987619756,FBgn0201884,Dvir\GJ14677,3.17649262231341,0.0141451719430281,male_biased
augustus_masked-scaffold101-size120241-abinit-gene-0.4,-1.29182972102381,0.0085203355331756,-0.845196861042972,0.0397834698537481,-0.206423577850127,0.44359061477936,Unbiased,0.240209282130707,0.373350616469321,Unbiased,-0.446632859980834,0.659153856859736,FBgn0201887,Dvir\GJ14680,-0.230012749108347,0.867534038658672,Unbiased
augustus_masked-scaffold1010-size29458-abinit-gene-0.0,-0.178551392606303,0.609711988010814,-0.396560269713188,0.287272802348379,0.788416999537924,0.00910231881910669,female_biased,0.57040812243104,0.0426052936080217,female_biased,0.218008877106887,0.843793767872598,FBgn0204078,Dvir\GJ16899,-0.961824693944777,0.568045821636142,Unbiased
augustus_masked-scaffold1010-size29458-abinit-gene-0.3,-0.18708550535903,0.373047538944558,-0.078248528569728,0.760470668268598,0.750559170476641,0.000512642534052996,female_biased,0.859396147265943,0.000173306243894201,female_biased,-0.108836976789302,0.87372534617984,FBgn0203717,Dvir\GJ16533,-0.132569978986989,0.915287407278285,Unbiased
augustus_masked-scaffold1011-size29701-abinit-gene-0.0,-1.39417553652618,0.0265201417890721,-0.55812679473581,0.303756094594007,-1.18626309952426,0.00840112169412267,male_biased,-0.350214357733892,0.35948872436228,Unbiased,-0.836048741790371,0.536187294554595,FBgn0207202,Dvir\GJ20061,0.0702720515998457,0.968081446852244,Unbiased
augustus_masked-scaffold1011-size29701-abinit-gene-0.1,-0.896160914942405,0.24324220286201,-0.30248314182269,0.736484683291966,-1.70102503176615,0.011179041377112,male_biased,-1.10734725864644,0.0685573430420309,Unbiased,-0.593677773119715,0.800719653198159,FBgn0209418,Dvir\GJ22305,0.763515460192567,0.474569008178916,Unbiased
augustus_masked-scaffold1015-size19200-abinit-gene-0.1,0.25750135915035,0.580380310725355,-0.218122922631537,0.642627584107855,-5.90114938945078,3.56899829645411E-8,male_biased,-6.37677367123267,2.06810178286067E-8,male_biased,0.475624281781889,0.713453373802857,FBgn0210342,Dvir\GJ23240,2.73840315849193,3.63368857102418e-05,male_biased
augustus_masked-scaffold1018-size132708-abinit-gene-0.5,0.258886096192497,0.579077286436163,0.27523157881514,0.596569681057747,-1.18020433283286,0.00472922483115721,male_biased,-1.16385885021021,0.00530501748772107,male_biased,-0.0163454826226428,0.989994023925779,FBgn0197464,Dvir\GJ10176,-0.225366273723982,0.852859352662234,Unbiased
augustus_masked-scaffold1018-size132708-abinit-gene-0.8,-0.661723534440795,0.171454543206169,-0.616235762736384,0.219989831312239,-0.591764819237816,0.105088615609562,Unbiased,-0.546277047533405,0.133966809702657,Unbiased,-0.0454877717044104,0.977030957519006,FBgn0198267,Dvir\GJ11000,-0.710174989544066,0.398390940673215,Unbiased
augustus_masked-scaffold1019-size110373-abinit-gene-0.1,-0.379274993215845,0.05851521500439,-0.422603149292095,0.0358383826312872,-0.928255810569399,0.0000225249896373047,male_biased,-0.971583966645648,0.0000138717907626544,male_biased,0.0433281560762498,0.939807412891773,FBgn0210661,Dvir\GJ23564,0.432327911049774,0.70040600909538,Unbiased
augustus_masked-scaffold1019-size110373-abinit-gene-0.2,-0.454154076551059,0.0230853284655215,-0.259694965603587,0.135532517405729,-0.98805723114749,0.00000658991894687892,male_biased,-0.793598120200018,0.0000374310826771798,male_biased,-0.194459110947472,0.677683533339496,FBgn0210743,Dvir\GJ23646,-0.701168696665971,0.30870654966674,Unbiased
augustus_masked-scaffold1019-size110373-abinit-gene-0.3,-0.0964816651879535,0.688653768345109,-0.498824907264151,0.057829346023082,0.100957719611589,0.570540372784432,Unbiased,-0.301385522464609,0.102376003762935,Unbiased,0.402343242076203,0.521856083969495,FBgn0210662,Dvir\GJ23565,0.865763141474332,0.239334334726903,Unbiased
augustus_masked-scaffold1019-size110373-abinit-gene-0.4,-0.32454570800692,0.187328217266988,0.0552563946029945,0.859604339926403,0.602589315676922,0.00544943618867553,female_biased,0.982391418286837,0.000180263884939517,female_biased,-0.379802102609915,0.563658797037095,FBgn0210742,Dvir\GJ23645,-0.591862125683163,0.430115691092182,Unbiased
augustus_masked-scaffold1019-size110373-abinit-gene-0.5,0.321367461372858,0.160100843292333,0.324067328089209,0.173368267864766,-0.518064947995725,0.00767704887447964,male_biased,-0.515365081279374,0.00815569252666759,male_biased,-0.00269986671635095,0.997136147106579,FBgn0210663,Dvir\GJ23566,-0.250120720818192,0.793303913492912,Unbiased
augustus_masked-scaffold1019-size110373-abinit-gene-1.0,-0.0198403380254928,0.915419341891552,-0.137543553428272,0.455723833609384,1.19176397733181,0.0000017850111622071,female_biased,1.07406076192903,0.00000386830182393031,female_biased,0.117703215402779,0.820572939020363,FBgn0210664,Dvir\GJ23567,-1.53737446276716,0.0221419978702108,female_biased
augustus_masked-scaffold102-size108901-abinit-gene-0.0,-0.124731540127318,0.821587443019826,0.358361423812751,0.540119896398403,-0.280952469002989,0.470962836699903,Unbiased,0.20214049493708,0.607733070908914,Unbiased,-0.483092963940066,0.766264150681959,FBgn0210044,Dvir\GJ22941,-0.565127326316818,0.540655034084066,Unbiased
augustus_masked-scaffold102-size108901-abinit-gene-0.5,-0.517037896441618,0.0465762590619444,-0.101900188238441,0.698409634752277,0.0464819107523598,0.786600764805163,Unbiased,0.461619618955537,0.0158545585611873,female_biased,-0.415137708203177,0.483186047903808,FBgn0210000,Dvir\GJ22897,-0.770364383049137,0.228818391906493,Unbiased
augustus_masked-scaffold1021-size46816-abinit-gene-0.1,-0.424199192293187,0.244556952988932,-0.11494877827556,0.809385600884988,2.91992978021363,0.00000123713207911577,female_biased,3.22918019423126,4.78993658973001E-7,female_biased,-0.30925041401763,0.790558427021335,NA,NA,NA,NA,NA
augustus_masked-scaffold1021-size46816-abinit-gene-0.2,-0.14642641814475,0.591477655087619,-0.0687858493212709,0.841868143304287,2.95291333524562,8.19766960172023E-8,female_biased,3.03055390406909,5.63287126766687E-8,female_biased,-0.0776405688234788,0.9329521257429,FBgn0202926,Dvir\GJ15738,-1.97845060541515,0.000624618095082905,female_biased
augustus_masked-scaffold1021-size46816-abinit-gene-0.3,-0.59435411859951,0.103271720608288,-0.286405325979433,0.446700286370043,0.604389911832763,0.0312464900350707,female_biased,0.91233870445284,0.00365552034608036,female_biased,-0.307948792620079,0.771515271483659,FBgn0199403,Dvir\GJ12151,NA,NA,NA
augustus_masked-scaffold1021-size46816-abinit-gene-0.5,-1.01290954651029,0.0470125357636822,-0.322687464366974,0.514567272773605,0.181526845993659,0.586586538122983,Unbiased,0.871748928136978,0.0192950150212731,female_biased,-0.69022208214332,0.563658797037095,FBgn0199414,Dvir\GJ12162,-0.0926794900480704,0.96513498086869,Unbiased
augustus_masked-scaffold1021-size46816-abinit-gene-0.6,0.176832233636285,0.318952709652216,0.241789923161198,0.205921111268191,-0.73183722479468,0.000165245325188537,male_biased,-0.666879535269768,0.000322270846508169,male_biased,-0.0649576895249121,0.916741456103721,FBgn0199425,Dvir\GJ12173,0.203719000794412,0.849653457565326,Unbiased
augustus_masked-scaffold1022-size75351-abinit-gene-0.2,-0.0468545261605782,0.837244284595862,0.424070300011699,0.0680037861022557,-0.736997696039887,0.000558958716589905,male_biased,-0.26607286986761,0.106147738717552,Unbiased,-0.470924826172278,0.381530199836304,FBgn0201573,Dvir\GJ14360,-0.396039329078761,0.70663695576959,Unbiased
