genes,logFC,logCPM,F,PValue,FDR
maker-scaffold1143-size29169-augustus-gene-0.18,9.06915348847073,7.88235608727306,217.177124725388,8.57094266077405e-09,8.00354625663081e-05
maker-scaffold171-size153362-augustus-gene-1.26,7.64021949753465,4.85273765781181,144.253894836379,7.79614926857279e-08,0.000364002209349663
augustus_masked-scaffold225-size216229-abinit-gene-0.16,2.2676388241357,5.24331933266486,102.773663421195,3.91482703239678e-07,0.00111666654434492
augustus_masked-scaffold2421-size18636-abinit-gene-0.1,1.35610850112475,7.479770761991,98.942652780243,4.783322100428e-07,0.00111666654434492
maker-scaffold493-size60886-snap-gene-0.31,2.19186085512404,4.83524056676146,73.9119891360271,2.16966198590195e-06,0.00321075047156339
snap_masked-scaffold185-size46549-abinit-gene-0.4,-1.47578521396058,6.05068277959482,73.4404368063085,2.2415843218137e-06,0.00321075047156339
maker-scaffold268-size67922-augustus-gene-0.20,-3.68966220662001,7.39996667291313,74.4555279978367,2.40685942396056e-06,0.00321075047156339
maker-scaffold1070-size36888-augustus-gene-0.17,-1.08886160146892,7.56943565787478,70.0057227019218,2.85876907942652e-06,0.00333689820796061
maker-scaffold113-size50462-augustus-gene-0.15,1.92482636938586,4.87591099965628,64.9643658765697,4.16543216232999e-06,0.00404674650542078
augustus_masked-scaffold1484-size34796-abinit-gene-0.0,1.13344977626243,5.75817442583979,64.3877254825483,4.3556279585251e-06,0.00404674650542078
snap_masked-scaffold22-size130626-abinit-gene-1.8,1.90557352936533,7.15005239980857,63.235582978617,4.7669963118043e-06,0.00404674650542078
maker-scaffold2928-size10723-augustus-gene-0.6,1.68123252558391,7.22618081390794,59.0845021746626,6.67909322115795e-06,0.00513762866650098
snap_masked-scaffold625-size40917-abinit-gene-0.13,1.03493357325655,7.6341826933515,58.2707693816739,7.15240658219241e-06,0.00513762866650098
maker-scaffold110-size75150-augustus-gene-0.30,-0.89767319446931,6.45202425433019,51.8660305077752,1.26345701711767e-05,0.00842725830417487
maker-scaffold3460-size5563-snap-gene-0.3,4.95163887246257,4.21216881607948,50.1089414598322,1.66237077001804e-05,0.00999949825104901
maker-scaffold2590-size8123-augustus-gene-0.4,-4.83267382983676,6.14021295888409,49.7900861839414,1.7133430286655e-05,0.00999949825104901
maker-scaffold1524-size35094-snap-gene-0.11,0.834626508354042,8.74041483999069,46.3447359517692,2.16709461983767e-05,0.0119037232706142
maker-scaffold617-size41908-augustus-gene-0.10,1.32802720091009,7.56670236217975,45.2751924527803,2.42043307461159e-05,0.0124026955536615
augustus_masked-scaffold169-size86990-abinit-gene-0.1,3.084888595636,4.03032959803912,44.8767632042161,2.52357266566254e-05,0.0124026955536615
maker-scaffold3623-size6412-augustus-gene-0.2,-1.46209423452586,4.98716613759076,42.1292067349542,3.39360673119032e-05,0.0158447498279276
augustus_masked-scaffold836-size45534-abinit-gene-0.0,1.33716867411032,5.76113570846013,41.2631364916369,3.73774953197831e-05,0.0165493672827239
maker-scaffold551-size59772-augustus-gene-0.21,-1.50188743069864,8.17730646050844,40.877934373827,3.90385887052843e-05,0.0165493672827239
maker-scaffold1684-size29450-snap-gene-0.28,-1.80970133243669,5.62761930254363,40.4980783025082,4.07619883810933e-05,0.0165493672827239
maker-scaffold1751-size36733-snap-gene-0.6,-5.81922900616573,4.35325685740371,40.786373960336,4.32709013300544e-05,0.0166715949405155
snap_masked-scaffold1021-size46816-abinit-gene-0.20,1.51605352951913,8.04342735899448,39.6304207835738,4.50443065039436e-05,0.0166715949405155
maker-scaffold89-size185956-snap-gene-0.7,-0.884909127094846,5.76868773642839,39.3722038441123,4.6419090646113e-05,0.0166715949405155
maker-scaffold1326-size36164-augustus-gene-0.17,0.940406035463441,6.26484872038415,38.7669768016495,4.98387749352314e-05,0.0168389746616157
maker-scaffold1365-size77360-snap-gene-0.54,-0.974887128175487,6.20497531187036,38.364738190257,5.22751501417598e-05,0.0168389746616157
maker-scaffold45-size278787-augustus-gene-0.37,-1.87123914517667,4.88183071595393,38.0811630861591,5.40768497056328e-05,0.0168389746616157
maker-scaffold208-size62312-snap-gene-0.13,3.19152775817875,2.99975937476698,38.0778652852775,5.4098226584758e-05,0.0168389746616157
maker-scaffold2360-size9094-snap-gene-0.4,1.12159648821784,7.90023025497967,37.6468907200636,5.69791118213371e-05,0.0171635789092789
maker-scaffold403-size50949-augustus-gene-0.18,-1.48758670340462,5.33083172803081,35.6554380482925,7.2867286291321e-05,0.0212635849808861
maker-scaffold1234-size69784-snap-gene-0.19,-1.03159811699833,8.01245824609129,35.1603015794733,7.75904731045059e-05,0.0219557526621175
maker-scaffold206-size97178-snap-gene-0.22,1.97556310416881,6.32696925664803,35.0527354935475,8.39820101410265e-05,0.0224830303858926
augustus_masked-scaffold2189-size17455-abinit-gene-0.0,1.52693697198023,12.252140320247,34.4421393064732,8.50946638232434e-05,0.0224830303858926
maker-scaffold1317-size67552-augustus-gene-0.33,-1.18843085969039,5.6384488045802,34.3001856013066,8.66769215990718e-05,0.0224830303858926
augustus_masked-scaffold1793-size20471-abinit-gene-0.2,-1.14327291952056,6.61677792920613,33.9306205328232,9.09607076440406e-05,0.0229565158913527
snap_masked-scaffold19-size116871-abinit-gene-0.17,-2.40323782230459,9.58186173685806,33.8924461736585,9.89999712960207e-05,0.0243279403147958
maker-scaffold430-size34004-augustus-gene-0.18,-0.740292934917228,8.12512419652987,33.0027806414711,0.000102856893416721,0.0246276325827011
