genes,logFC,logCPM,F,PValue,FDR
maker-scaffold60-size148781-snap-gene-0.45,-12.8715069366584,13.1686361233274,6264.69653541062,2.65257466089879e-17,2.47697421834729e-13
augustus_masked-scaffold1647-size38519-abinit-gene-0.1,-12.9028326719496,10.9437047860698,5024.53727488922,9.58758394087004e-17,3.20631996605255e-13
maker-scaffold219-size92860-augustus-gene-0.17,-13.0625297097508,13.0626055144558,4736.70565237081,1.35175139911548e-16,3.20631996605255e-13
augustus_masked-scaffold238-size264187-abinit-gene-0.0,-12.9561701635919,11.4575928357158,4565.45576005609,1.67499044833659e-16,3.20631996605255e-13
snap_masked-scaffold147-size255492-abinit-gene-0.5,-12.4777491261957,11.6226664888603,4546.1580755567,1.71681300388335e-16,3.20631996605255e-13
augustus_masked-scaffold19721-size620-abinit-gene-0.0,-11.2517553644356,10.440785709896,3956.96761825994,3.85157325764887e-16,5.03285785813859e-13
maker-scaffold129-size187042-snap-gene-1.60,-12.2887153519055,12.4633372900607,3918.09815683229,4.07934063833272e-16,5.03285785813859e-13
augustus_masked-scaffold153-size99568-abinit-gene-0.0,-12.4648723215488,12.1737126722624,3880.97734169653,4.31172230296731e-16,5.03285785813859e-13
augustus_masked-scaffold54-size515352-abinit-gene-4.2,-12.4443654942641,10.515443077541,3662.41146288956,6.04154141201966e-16,6.26843485615996e-13
maker-scaffold681-size147983-augustus-gene-1.18,-12.6306998851325,11.0755653177586,3336.45716128892,1.03913626491742e-15,9.70345444179886e-13
maker-scaffold203-size96283-augustus-gene-0.43,-12.9103586258752,11.2545960656452,3200.30474830465,1.32410797793361e-15,1.1240472998131e-12
maker-scaffold189-size95467-snap-gene-0.35,-12.8589027219954,11.0092630563835,2854.66728858873,2.57376388669778e-15,2.00281726449866e-12
augustus_masked-scaffold225-size216229-abinit-gene-0.9,-12.6599192001562,11.0376145056751,2482.28995337613,5.79964663411577e-15,4.16593078995178e-12
snap_masked-scaffold726-size73853-abinit-gene-0.6,-9.32515953757836,7.1603754855825,2128.83529261694,1.41548161428768e-14,8.8795386104298e-12
maker-scaffold114-size71434-snap-gene-0.42,-13.0612797989014,11.767537299018,2126.03143765796,1.4263555274839e-14,8.8795386104298e-12
snap_masked-scaffold156-size116054-abinit-gene-0.21,-12.7019370099586,10.9621578856789,1866.88066763332,3.03328183836685e-14,1.70649537841801e-11
maker-scaffold284-size104229-augustus-gene-0.27,-5.82821009497412,9.63545071337235,1859.20109946928,3.10670608621827e-14,1.70649537841801e-11
snap_masked-scaffold158-size227332-abinit-gene-1.17,-5.43072365088708,8.03501204866624,1802.63015151269,3.71671187065394e-14,1.92814752489814e-11
maker-scaffold689-size43434-augustus-gene-0.16,-5.37143131250979,8.55420282949025,1657.98594807146,6.0372739516274e-14,2.96716127159456e-11
augustus_masked-scaffold904-size79630-abinit-gene-0.0,-9.43735593300612,8.92265490980111,1629.94613402248,6.66483917116337e-14,3.11181340901618e-11
maker-scaffold170-size82550-augustus-gene-0.26,-10.8813840945178,9.71731539195866,1578.12518688323,8.0377026820031e-14,3.57409845926404e-11
maker-scaffold24-size118282-snap-gene-0.54,-9.62191638056825,9.95785610133262,1525.95687316254,9.76662194165146e-14,4.14548707687006e-11
maker-scaffold230-size39793-augustus-gene-0.22,-4.94230303632357,8.37482734965643,1390.63512387007,1.67252747185217e-13,6.79046153571983e-11
snap_masked-scaffold705-size46667-abinit-gene-0.12,-4.40166372845323,8.09598253221339,1368.61488619933,1.83448421359916e-13,7.13767232774538e-11
maker-scaffold787-size133522-snap-gene-0.24,-4.26193924631175,8.4315279768334,1333.38363851952,2.13348379441151e-13,7.96898866888586e-11
maker-scaffold1021-size46816-augustus-gene-0.23,-9.05189860963823,8.79807818819347,1304.60127710285,2.42075039805848e-13,8.69421816041156e-11
maker-scaffold78-size155304-augustus-gene-0.49,-4.9234055969836,9.90057570510046,1290.70491528214,2.57554041344251e-13,8.90755421508376e-11
augustus_masked-scaffold140-size106990-abinit-gene-0.5,-6.65830309781013,10.2483562886063,1257.78436658081,2.99090525946294e-13,9.97466904030892e-11
maker-scaffold2048-size24850-snap-gene-0.12,-3.49390443709979,8.0206610152707,1247.25170874526,3.14003221326757e-13,1.01109037267216e-10
augustus_masked-scaffold1274-size27350-abinit-gene-0.3,-4.42861239749919,7.43686912798958,1212.5763256093,3.69635963294385e-13,1.15055354174766e-10
maker-scaffold415-size42346-augustus-gene-0.17,-8.68223899409745,7.84185566744777,1192.09444170913,4.07912653563909e-13,1.22873818031606e-10
augustus_masked-scaffold18-size225254-abinit-gene-2.3,-10.263290156993,8.88204138211369,1136.18351222859,5.38517445347815e-13,1.57146122020559e-10
augustus_masked-scaffold571-size67438-abinit-gene-0.4,-4.98947986544378,6.72301563624638,1104.15230193387,6.35313412668429e-13,1.74701689651153e-10
maker-scaffold225-size216229-augustus-gene-1.24,-8.87717400492952,9.4317312598988,1099.10961003031,6.52344890585537e-13,1.74701689651153e-10
maker-scaffold188-size140497-augustus-gene-1.31,-10.4668825661169,8.98672087733407,1102.9129868632,6.54803934224712e-13,1.74701689651153e-10
augustus_masked-scaffold3483-size5507-abinit-gene-0.0,4.33236868005171,6.47349318258804,1088.94177946608,6.88340284454715e-13,1.7854782156217e-10
maker-scaffold387-size32679-augustus-gene-0.16,-3.85890926156065,8.03488375735549,1082.83599946832,7.11073116883957e-13,1.79459480147632e-10
maker-scaffold591-size32877-snap-gene-0.14,-4.31174702992591,7.13864387814659,1075.77224441839,7.38478635810351e-13,1.81471407926238e-10
maker-scaffold1431-size73768-snap-gene-0.38,-10.9669270525923,10.2170265529632,1091.73711997665,7.95579743017613e-13,1.90490349751243e-10
maker-scaffold338-size62820-augustus-gene-0.12,-3.36049961459098,7.24826980538869,1051.77423435523,8.41285513348773e-13,1.96398103091271e-10
maker-scaffold803-size150050-augustus-gene-0.24,-4.44065732894332,9.02082550702167,1035.13067341831,9.22480926610216e-13,2.08337521258116e-10
augustus_masked-scaffold533-size168304-abinit-gene-1.2,-4.19831995429375,8.38287565416802,1032.32601468124,9.37050320501272e-13,2.08337521258116e-10
maker-scaffold446-size112167-augustus-gene-0.20,-7.23799263940272,6.62335278601654,1024.60274438467,9.78584797052129e-13,2.12512205462158e-10
maker-scaffold602-size52133-snap-gene-0.17,-4.13544644415082,7.95338259242985,1014.02348095672,1.03903108770035e-12,2.20510734021497e-10
maker-scaffold493-size60886-snap-gene-0.31,-6.76921902492896,4.83524056676146,978.973856843254,1.27300126589357e-12,2.64161907131426e-10
maker-scaffold1095-size44958-augustus-gene-0.13,-4.19020457623198,8.76839711411705,960.807747760732,1.41833777514496e-12,2.86514491329259e-10
maker-scaffold1021-size46816-snap-gene-0.31,-7.89557348604962,7.64207955386936,957.027774772482,1.45097322126151e-12,2.86514491329259e-10
augustus_masked-scaffold2-size192349-abinit-gene-1.18,-6.67068251858797,6.2817988444765,954.558593975814,1.47276671490731e-12,2.86514491329259e-10
maker-scaffold109-size99360-snap-gene-0.16,-7.02302158190026,7.07925683057197,930.964248604377,1.70157288527282e-12,3.24271175564848e-10
maker-scaffold969-size53655-snap-gene-0.13,-3.17218026943904,8.99022107746701,904.832624296729,2.00526700788655e-12,3.5916293353429e-10
snap_masked-scaffold224-size68174-abinit-gene-0.16,-4.94345431769504,8.63528821317588,904.173132102958,2.01371682294987e-12,3.5916293353429e-10
maker-scaffold50-size193894-augustus-gene-0.34,-3.67792755022155,8.19582224330465,902.874397650896,2.03047924907941e-12,3.5916293353429e-10
augustus_masked-scaffold168-size57764-abinit-gene-0.8,-3.35609877501282,6.72628184511059,902.256386765494,2.03851311601171e-12,3.5916293353429e-10
snap_masked-scaffold942-size109003-abinit-gene-0.9,-7.29987899774761,8.8171770106243,898.408372510583,2.08938164772045e-12,3.61308256044696e-10
maker-scaffold387-size32679-augustus-gene-0.17,-3.9489359065135,6.52273689734171,894.413820322977,2.14376761607258e-12,3.63972763616104e-10
augustus_masked-scaffold302-size122025-abinit-gene-0.5,-12.4711958961327,10.7427884369887,950.7941276621,2.26811054753669e-12,3.78207433801743e-10
maker-scaffold295-size135286-augustus-gene-0.38,-3.37978264511882,8.39839769550054,877.048637859267,2.40033424149246e-12,3.88749100770277e-10
augustus_masked-scaffold699-size104298-abinit-gene-0.6,-2.97378874955469,7.75101669609228,876.148197566615,2.41459068801414e-12,3.88749100770277e-10
maker-scaffold47-size191672-augustus-gene-1.39,-4.88340699165071,8.90844530417773,854.193042564413,2.79493900549827e-12,4.4235831242954e-10
snap_masked-scaffold274-size124964-abinit-gene-1.8,-5.60981680407306,9.25295586067626,842.170397854254,3.03282592091172e-12,4.72008807491227e-10
augustus_masked-scaffold311-size51850-abinit-gene-0.3,-11.6946434664675,9.72371493661714,894.150354476716,3.21005793468547e-12,4.91401983509721e-10
maker-scaffold35-size133594-augustus-gene-0.29,-9.52629413106646,9.92027017734901,860.959879915542,3.44506301006723e-12,5.18870941742062e-10
maker-scaffold305-size120479-augustus-gene-0.47,-3.99638214777994,8.78221889433039,811.811583177821,3.7471528271809e-12,5.55411319051035e-10
maker-scaffold729-size69665-augustus-gene-0.17,-3.74441723922608,8.43127457768594,807.126007574257,3.87417666212638e-12,5.65266588608377e-10
maker-scaffold305-size120479-augustus-gene-0.50,6.92512525717543,7.80949496880506,798.776395404372,4.11325637192024e-12,5.90916738476788e-10
augustus_masked-scaffold554-size94956-abinit-gene-0.5,-7.17586961257116,6.03394983333727,794.052190814193,4.25617257793767e-12,6.02183932314878e-10
maker-scaffold154-size54318-snap-gene-0.25,-3.24192265494915,8.51901177171474,789.977865533816,4.38411793076093e-12,6.11028257275306e-10
augustus_masked-scaffold1260-size49815-abinit-gene-0.0,-2.84251625103272,7.52524929769365,785.738551831396,4.52205429100219e-12,6.20984455432036e-10
maker-scaffold1260-size49815-augustus-gene-0.27,3.2221988125585,7.78751090248021,782.67988264766,4.6247372099235e-12,6.25881102409647e-10
augustus_masked-scaffold1200-size75956-abinit-gene-0.1,-3.01871405642092,8.18452203815434,768.365786750911,5.14312294356342e-12,6.85078568342914e-10
maker-scaffold1994-size23604-augustus-gene-0.3,4.50334758129982,6.47351277260882,765.263375639438,5.26427897967246e-12,6.85078568342914e-10
augustus_masked-scaffold162-size90734-abinit-gene-0.9,-3.54574791828095,7.91052652006443,764.81030725771,5.28225068758726e-12,6.85078568342914e-10
augustus_masked-scaffold142-size401332-abinit-gene-2.5,-3.78715089617237,7.74041825927214,761.352276478242,5.42181234043238e-12,6.93546351163802e-10
maker-scaffold426-size98865-snap-gene-0.61,-3.98884671991908,8.65036836222392,751.87070146986,5.82720030046857e-12,7.35329681159128e-10
maker-scaffold540-size103107-augustus-gene-0.27,-3.14558790559736,7.44004237183095,747.792934825641,6.01239875062403e-12,7.48564195743937e-10
snap_masked-scaffold508-size112561-abinit-gene-0.24,-2.58119944347842,7.86911941109244,746.076595251544,6.09240510564781e-12,7.48564195743937e-10
maker-scaffold472-size153788-augustus-gene-0.29,-3.58866590949059,8.97029944905577,742.163535328127,6.27951964125268e-12,7.6153447285737e-10
maker-scaffold2768-size15760-snap-gene-0.9,-8.12769280653576,7.18666989089201,759.283110929337,6.47348723084668e-12,7.69534384867097e-10
snap_masked-scaffold855-size58795-abinit-gene-0.10,-5.05258071508441,4.9679236408912,737.521234181149,6.51030374860791e-12,7.69534384867097e-10
maker-scaffold5454-size5007-snap-gene-0.3,-3.44426236290578,7.42467565174993,735.704911407286,6.6032932666776e-12,7.70769406552943e-10
maker-scaffold2552-size12014-augustus-gene-0.8,-3.47400329227609,6.948041321754,732.200701133882,6.78713018536167e-12,7.82447181122312e-10
maker-scaffold281-size100383-augustus-gene-0.31,-3.73930251353688,8.63696548399169,730.140091506829,6.89803151618292e-12,7.85534369489221e-10
maker-scaffold1092-size72151-augustus-gene-0.28,-8.76347127361857,7.08276796184717,760.387519453833,7.07775265785815e-12,7.96289811073246e-10
maker-scaffold360-size70867-snap-gene-0.29,-2.78413491334031,8.77260167112118,721.479170292672,7.3879903188682e-12,8.16187466410064e-10
augustus_masked-scaffold191-size139346-abinit-gene-0.3,-5.78024996751697,8.1657058392652,720.777821486421,7.42942114423382e-12,8.16187466410064e-10
maker-scaffold3219-size11100-augustus-gene-0.8,-5.66645572950142,5.18108520117305,718.594498483831,7.56014999973037e-12,8.20891636017235e-10
maker-scaffold78-size155304-snap-gene-0.72,-2.94109218816156,9.18829432160121,711.828043985007,7.98275340904821e-12,8.48799032860079e-10
maker-scaffold539-size68715-snap-gene-0.17,-3.2310981038,9.07045421489091,711.576915162108,7.9989628284094e-12,8.48799032860079e-10
augustus_masked-scaffold528-size101938-abinit-gene-0.1,-7.38713659538157,6.95726720784676,723.768052492351,8.09361663752115e-12,8.49193170350253e-10
maker-scaffold865-size106591-snap-gene-0.49,-2.76502854088816,7.89948559452421,708.57363268184,8.19583199903389e-12,8.50363102299761e-10
maker-scaffold614-size72194-snap-gene-0.31,-2.98679268163434,8.84407233994411,697.905456229236,8.94255208949191e-12,9.00125012236919e-10
augustus_masked-scaffold642-size61208-abinit-gene-0.0,-3.86368465816355,8.1666182118779,697.693897667692,8.95814713209826e-12,9.00125012236919e-10
augustus_masked-scaffold1242-size27343-abinit-gene-0.0,3.93850484783833,7.35620987546782,696.72033778862,9.03032500577104e-12,9.00125012236919e-10
maker-scaffold1957-size44547-augustus-gene-0.21,-3.37569604166654,8.88544987102301,696.30914859692,9.06101425897091e-12,9.00125012236919e-10
maker-scaffold1201-size25508-snap-gene-0.15,-2.5357941070914,8.74514861544544,690.530052504792,9.50553232278844e-12,9.34343798212615e-10
maker-scaffold140-size106990-augustus-gene-0.64,-3.10448489837332,7.70262838466382,688.225492490087,9.6898858179271e-12,9.42543268414618e-10
augustus_masked-scaffold2244-size18066-abinit-gene-0.0,-5.98555041227167,4.78156387593576,681.983403122706,1.02106436746003e-11,9.82958666323898e-10
augustus_masked-scaffold56-size75054-abinit-gene-0.11,-6.71643734083324,6.58819337801425,678.248388888889,1.06380809317149e-11,1.01365714020769e-09
maker-scaffold707-size46892-snap-gene-0.37,-3.29978355681848,8.69465683391894,674.09875722328,1.09160260295275e-11,1.01788566383512e-09
maker-scaffold4345-size3916-augustus-gene-0.2,6.72405589304187,6.48932695702876,673.433402847517,1.09781203186993e-11,1.01788566383512e-09
maker-scaffold1155-size33072-augustus-gene-0.13,-8.26233810645307,7.38517857421709,703.434218545826,1.10094722689384e-11,1.01788566383512e-09
maker-scaffold1-size140626-augustus-gene-0.25,-3.62072024443302,8.15833241343306,667.455372494775,1.15549813289179e-11,1.05784721224937e-09
maker-scaffold439-size36912-augustus-gene-0.22,-3.75068767503605,7.86247049549868,659.909636346453,1.23345901811974e-11,1.10773384054884e-09
maker-scaffold411-size80546-snap-gene-0.25,-2.76752573511394,5.76537562414983,658.125457044789,1.25278333550042e-11,1.10773384054884e-09
augustus_masked-scaffold1594-size28686-abinit-gene-0.2,-2.78501089642968,8.20792562126778,658.027396813509,1.25385565945493e-11,1.10773384054884e-09
snap_masked-scaffold705-size46667-abinit-gene-0.13,-5.63847379988914,7.18890662303269,657.700294196336,1.25744042726684e-11,1.10773384054884e-09
maker-scaffold511-size29041-snap-gene-0.5,-11.1713639922576,10.2313525615795,700.438753996948,1.27355697332402e-11,1.11134647868442e-09
maker-scaffold1456-size28812-augustus-gene-0.9,-3.65776507702353,7.45566653979183,655.190921383403,1.28534396763672e-11,1.11134647868442e-09
maker-scaffold568-size93449-augustus-gene-0.36,-2.32918286563778,7.97565051241092,652.00187473081,1.32185869621408e-11,1.1324327069034e-09
maker-scaffold792-size56082-augustus-gene-0.25,-8.15823994051762,7.00079326972144,679.170208935201,1.34976659430049e-11,1.13640687867986e-09
maker-scaffold634-size151341-augustus-gene-0.27,-5.9126061566346,4.41997982206064,649.163204204195,1.35538732329778e-11,1.13640687867986e-09
augustus_masked-scaffold1510-size23745-abinit-gene-0.3,-9.64859111914812,7.39215516333908,692.05062445664,1.36300675104031e-11,1.13640687867986e-09
augustus_masked-scaffold900-size54276-abinit-gene-0.1,-2.86037369200269,7.62139804856286,640.805676491003,1.46004093449891e-11,1.19670694031971e-09
maker-scaffold147-size255492-snap-gene-2.48,-2.34163805345769,8.79868362827146,640.735299804409,1.46096156774948e-11,1.19670694031971e-09
maker-scaffold856-size44017-snap-gene-0.20,3.93819319947287,6.15870572867837,638.559337874093,1.48976485527587e-11,1.20968906248401e-09
maker-scaffold1645-size58039-augustus-gene-0.11,6.55759886437631,6.66535648282372,636.154721322498,1.55350736168223e-11,1.2505734261542e-09
maker-scaffold397-size33070-augustus-gene-0.19,-2.62289358652155,11.0576832300384,632.386503865463,1.57516678154847e-11,1.25717157317091e-09
maker-scaffold552-size99604-snap-gene-0.42,-4.16550423439744,7.20297574958254,629.403655831953,1.61848307318679e-11,1.28079618113714e-09
snap_masked-scaffold116-size166566-abinit-gene-0.15,-3.90014458839713,7.63707011765071,628.390437638382,1.63351321544715e-11,1.28182742906265e-09
augustus_masked-scaffold2070-size14558-abinit-gene-0.0,-2.94689114545289,6.63160910284111,625.239564220732,1.68130914452483e-11,1.30833873263107e-09
maker-scaffold77-size314389-augustus-gene-0.21,-7.66704590121195,7.23567143180868,648.806228763579,1.74085233695845e-11,1.34347761343124e-09
maker-scaffold295-size135286-augustus-gene-0.39,-5.41196125636399,8.96888356727004,616.74819212115,1.81849772748308e-11,1.39189604747844e-09
maker-scaffold876-size53123-augustus-gene-0.25,-8.12200639329566,6.97588439471356,648.77331536969,1.87407973550136e-11,1.42277695691965e-09
maker-scaffold602-size52133-augustus-gene-0.15,-5.97184442195107,9.71380713067475,606.518055134881,2.00157078259632e-11,1.50567910683633e-09
maker-scaffold17-size143674-augustus-gene-0.27,-4.41907710277998,8.92469905490354,605.715380560818,2.0168271625787e-11,1.50567910683633e-09
maker-scaffold533-size168304-augustus-gene-0.19,-10.3562475773759,10.2710132609878,644.689254164829,2.03165096874468e-11,1.50567910683633e-09
augustus_masked-scaffold107-size198745-abinit-gene-0.11,7.83232603254602,8.28339329273814,628.271362640524,2.08862432931368e-11,1.53571448717568e-09
maker-scaffold366-size139030-snap-gene-0.29,-2.12048478686757,7.38815556568032,594.623164995827,2.24225552541531e-11,1.63579547627563e-09
augustus_masked-scaffold2197-size32082-abinit-gene-0.0,-5.20379733314899,6.01555648725764,592.326535884686,2.29254592411203e-11,1.65951890227583e-09
augustus_masked-scaffold248-size129421-abinit-gene-1.0,-3.3873228271864,7.58846350514699,587.961653946503,2.39181487362741e-11,1.71805902230252e-09
maker-scaffold140-size106990-augustus-gene-0.51,-4.88998333406548,6.59945945050068,586.867917172997,2.41747272137399e-11,1.72323360856415e-09
maker-scaffold2349-size27842-snap-gene-0.17,-2.74599438690592,6.88954437753965,585.817779212319,2.44241167202835e-11,1.72782122677278e-09
maker-scaffold1438-size64040-augustus-gene-0.24,2.57561713984967,6.28253947322145,582.595425122814,2.52083955372732e-11,1.76989471824855e-09
maker-scaffold158-size227332-snap-gene-0.32,4.35760466608436,6.82331519471871,578.896630081911,2.61452763201197e-11,1.82197455430805e-09
