genes,logFC,logCPM,F,PValue,FDR
maker-scaffold1143-size29169-augustus-gene-0.18,8.77947327673297,7.88235608727306,280.763891996195,2.09573739829427e-09,1.95699958252719e-05
maker-scaffold171-size153362-augustus-gene-1.26,7.28049488650055,4.85273765781181,204.539502638791,1.18809760356265e-08,5.12029425583283e-05
augustus_masked-scaffold225-size216229-abinit-gene-0.16,2.19353696228267,5.24331933266486,181.165330592052,1.82820507494128e-08,5.12029425583283e-05
augustus_masked-scaffold836-size45534-abinit-gene-0.0,1.9394287631521,5.76113570846013,163.291357277285,3.23428769872094e-08,5.12029425583283e-05
snap_masked-scaffold22-size130626-abinit-gene-1.8,2.24334699612186,7.15005239980857,162.61132467921,3.3090268778042e-08,5.12029425583283e-05
maker-scaffold230-size39793-augustus-gene-0.19,2.87021167692169,6.90371913072066,161.462464304147,3.76615384443099e-08,5.12029425583283e-05
maker-scaffold2355-size43131-augustus-gene-0.12,-3.69177241256956,10.2620356515574,164.668976961508,3.83830154110407e-08,5.12029425583283e-05
maker-scaffold268-size67922-augustus-gene-0.20,-3.92813195271438,7.39996667291313,139.317580831618,9.38403539795338e-08,8.87763167869638e-05
maker-scaffold2590-size8123-augustus-gene-0.4,-6.72992790323048,6.14021295888409,139.227177740705,9.41648230577961e-08,8.87763167869638e-05
augustus_masked-scaffold1867-size22147-abinit-gene-0.1,-2.33485056258073,7.1340005731092,133.930167269271,9.50699472980978e-08,8.87763167869638e-05
maker-scaffold551-size59772-augustus-gene-0.21,-1.90819682280229,8.17730646050844,124.035912664994,1.43740303162479e-07,0.000122022450084657
maker-scaffold1329-size25114-augustus-gene-0.2,2.12236863983633,7.61011207474683,122.02524073339,1.56917684268929e-07,0.000122108111308605
augustus_masked-scaffold223-size114676-abinit-gene-0.9,4.41806765803337,9.26513864915821,109.059682406305,3.40952535666614e-07,0.000244908829081141
maker-scaffold198-size66291-augustus-gene-0.14,1.02380872826983,5.98835145209063,100.379640091019,4.43341830169963e-07,0.000288188097915913
snap_masked-scaffold704-size115859-abinit-gene-1.12,2.66921258605982,6.59750613985916,102.548895324911,4.6964627692468e-07,0.000288188097915913
maker-scaffold3460-size5563-snap-gene-0.3,5.23778659107664,4.21216881607948,101.562306647199,4.9378984436224e-07,0.000288188097915913
maker-scaffold4202-size6708-snap-gene-0.3,-1.10946472594939,9.72243017619729,97.171053170516,5.26021234844976e-07,0.000288940370057787
augustus_masked-scaffold2189-size17455-abinit-gene-0.0,1.83993862150448,12.252140320247,94.9779155967422,5.92990061259677e-07,0.000307630066224604
maker-scaffold287-size231392-augustus-gene-0.27,1.9092439937436,9.41089496999337,90.6026047275948,7.5889984322414e-07,0.000372979301896159
augustus_masked-scaffold169-size86990-abinit-gene-0.1,3.16894135139957,4.03032959803912,81.340820823235,1.32780017337417e-06,0.0006199499009484
maker-scaffold157-size67949-augustus-gene-0.15,2.43082422401083,5.00515039942962,79.5214455123904,1.55651653747099e-06,0.000692131020328768
maker-scaffold284-size104229-augustus-gene-0.26,-2.83460557958361,7.55723482686732,78.6354234875781,1.82863954881049e-06,0.000776174368490561
maker-scaffold744-size93141-augustus-gene-0.50,3.79184054910437,2.01487215344348,73.9269232616671,2.16742874061284e-06,0.000876386764154917
maker-scaffold1365-size77360-snap-gene-0.56,-2.82268977368908,8.69129829354397,75.2272879118337,2.28550975866408e-06,0.000876386764154917
snap_masked-scaffold625-size40917-abinit-gene-0.13,0.816734228256804,7.6341826933515,72.0794015023765,2.46537936393819e-06,0.000876386764154917
maker-scaffold640-size34268-augustus-gene-0.12,-2.1364710240409,7.17413535705097,73.8000485065959,2.51590541998837e-06,0.000876386764154917
maker-scaffold1321-size54054-augustus-gene-0.28,-1.82532482413442,8.99999040084779,71.598755832989,2.60962181441013e-06,0.000876386764154917
maker-scaffold914-size110935-augustus-gene-0.11,-2.12582278917124,7.40247528384762,73.1610122240734,2.62784636928011e-06,0.000876386764154917
maker-scaffold168-size57764-snap-gene-0.30,1.18233066147354,6.08082229751007,70.493309730721,2.76002923562486e-06,0.000888729413871206
maker-scaffold1024-size49215-snap-gene-0.14,-1.32805466114285,9.16266970566526,69.1149698165049,3.05004906982825e-06,0.000949378607135208
maker-scaffold45-size278787-augustus-gene-0.37,-1.83233014760065,4.88183071595393,68.0232958284056,3.30530149217682e-06,0.000995642107546681
maker-scaffold238-size264187-snap-gene-0.43,-2.87406474776212,2.07491241075428,67.3842885325122,3.46631319343201e-06,0.00101151351875838
maker-scaffold5-size95213-augustus-gene-0.37,1.04908383193076,8.70584467543972,63.6733934479565,4.60552971016644e-06,0.00126221502784036
maker-scaffold938-size38273-snap-gene-0.23,-1.28939012702305,7.1996477999685,63.4059667781212,4.70338179493524e-06,0.00126221502784036
augustus_masked-scaffold386-size99631-abinit-gene-0.3,0.671857867323181,6.5696088896808,63.1572588897694,4.7965773100214e-06,0.00126221502784036
augustus_masked-scaffold392-size54795-abinit-gene-0.3,3.11491135811571,3.41334871401913,62.9753571865831,4.86611062350106e-06,0.00126221502784036
maker-scaffold733-size64302-augustus-gene-0.18,2.43129924968904,3.77655881368413,62.1682698429218,5.1892312500679e-06,0.00130964976792254
augustus_masked-scaffold438-size69364-abinit-gene-0.9,-1.45112020734868,7.02059491558528,60.2640692654945,6.05656200758865e-06,0.00143525476281415
maker-scaffold45-size278787-augustus-gene-0.33,-6.29400482525471,4.51838315946857,61.6321184793113,6.13820784245854e-06,0.00143525476281415
maker-scaffold208-size62312-snap-gene-0.13,2.96415640453296,2.99975937476698,60.0820918461558,6.14801783171623e-06,0.00143525476281415
augustus_masked-scaffold332-size63888-abinit-gene-0.4,2.14872503950406,6.23400423408465,58.8689545054679,7.67575071813771e-06,0.00173796103322086
maker-scaffold479-size32881-augustus-gene-0.22,5.79616795875654,4.92486098371191,58.234033946251,8.09049966430724e-06,0.00173796103322086
maker-scaffold2042-size28187-snap-gene-0.11,-2.66286445936462,2.78108716255987,56.8203635894484,8.09719097953598e-06,0.00173796103322086
maker-scaffold867-size57532-augustus-gene-0.15,-1.66991200180334,4.16682192372812,56.6898729952037,8.18915029575046e-06,0.00173796103322086
maker-scaffold431-size121241-augustus-gene-1.6,0.971571378716915,7.30129935211302,56.4138064745519,8.38776386779079e-06,0.0017405541999429
maker-scaffold102-size108901-augustus-gene-0.26,-0.864960164157083,8.50442836674467,55.5247695833703,9.06683784026494e-06,0.00183229633409409
maker-scaffold467-size46863-snap-gene-0.22,-2.94822463054139,9.92852757026503,56.6794573586284,9.22230967042431e-06,0.00183229633409409
augustus_masked-scaffold4732-size3437-abinit-gene-0.0,1.45851247218574,9.2173068931242,54.3788761175754,1.00394833190951e-05,0.00195309781736895
augustus_masked-scaffold2421-size18636-abinit-gene-0.1,-0.704978119377944,7.479770761991,53.5323914974693,1.08369789441359e-05,0.00206521855878246
maker-scaffold182-size90750-augustus-gene-0.45,-1.52817373005685,6.93410307258459,53.6003978267367,1.12187170161066e-05,0.00207184157254584
snap_masked-scaffold2362-size20364-abinit-gene-0.9,-0.713812749021981,6.705325399462,52.8768286996205,1.15058994088165e-05,0.00207184157254584
maker-scaffold171-size153362-snap-gene-1.42,1.68405946549528,5.91318969312579,53.2908706542423,1.15373486584262e-05,0.00207184157254584
maker-scaffold2018-size10813-snap-gene-0.4,3.14327796930911,6.94247947658378,53.2233844238088,1.24777771157525e-05,0.00215297052613058
maker-scaffold5454-size5007-snap-gene-0.3,-0.845547322774603,7.42467565174993,51.9252701765621,1.25649448211986e-05,0.00215297052613058
augustus_masked-scaffold2798-size20880-abinit-gene-0.1,-1.90766927071854,6.85060756810724,53.0439715517987,1.26808073395997e-05,0.00215297052613058
maker-scaffold1093-size72171-augustus-gene-0.20,2.13203484490755,7.32488534516448,52.2495532106283,1.36277913975157e-05,0.00226032600554724
maker-scaffold271-size67337-augustus-gene-0.20,0.706372537440865,6.70944166399233,50.8932188102872,1.38452245374434e-05,0.00226032600554724
maker-scaffold879-size45976-snap-gene-0.19,1.98298067132137,3.63813443128088,50.7098544702044,1.40883770817228e-05,0.00226032600554724
augustus_masked-scaffold1585-size17018-abinit-gene-0.3,1.7957983688087,3.50931778848994,50.5669520158611,1.42813487178504e-05,0.00226032600554724
maker-scaffold328-size92609-snap-gene-0.40,1.22948291755741,4.07288838904808,50.3383202240972,1.45965680091996e-05,0.00227171253449843
augustus_masked-scaffold3-size168552-abinit-gene-0.4,1.58450237354929,5.16740651043769,49.8520566224163,1.52945091121024e-05,0.0023138628440504
maker-scaffold493-size60886-snap-gene-0.31,1.38306669184927,4.83524056676146,49.6291369221758,1.56274993792346e-05,0.0023138628440504
augustus_masked-scaffold1979-size11015-abinit-gene-0.0,2.74426235158213,8.89536291965902,50.7197105966817,1.56962393047674e-05,0.0023138628440504
augustus_masked-scaffold39-size136389-abinit-gene-1.1,0.612683195089855,6.11230946450995,49.4777008695752,1.58585587940914e-05,0.0023138628440504
maker-scaffold383-size108311-augustus-gene-0.50,0.84802072595698,7.33790819321515,48.1380064555802,1.80869580250821e-05,0.00259840021597256
maker-scaffold441-size104270-snap-gene-0.26,3.28947409283517,2.76302924124235,47.895416341994,1.85286971978686e-05,0.00262152991566207
snap_masked-scaffold257-size144893-abinit-gene-0.28,0.734081689683945,6.08084284162385,47.6547355162177,1.89795055734668e-05,0.00262686969356194
maker-scaffold1035-size48451-augustus-gene-0.12,-1.05285094990571,7.34541730899984,47.3252881082421,1.96175894370073e-05,0.00262686969356194
maker-scaffold1563-size130606-snap-gene-1.23,-2.18167655262556,5.6504365282363,48.3444326445741,1.96879249608285e-05,0.00262686969356194
maker-scaffold380-size92745-snap-gene-0.52,4.75674437263997,3.85283536862818,48.3424745626613,1.96916768632829e-05,0.00262686969356194
maker-scaffold366-size139030-snap-gene-0.25,-0.913506197888115,6.31047348023465,46.0932700061022,2.22374598438821e-05,0.00292469577496016
maker-scaffold2197-size32082-augustus-gene-0.13,0.785243305605565,6.1407647583655,45.7783623174434,2.29715574118838e-05,0.00295808838950653
maker-scaffold600-size123458-augustus-gene-0.34,-0.734003007384472,6.36922176210601,45.713969543497,2.31251432141783e-05,0.00295808838950653
maker-scaffold2573-size15920-snap-gene-0.11,-1.21219429112335,8.2730375041932,45.5828185575908,2.34416942411098e-05,0.00295808838950653
maker-scaffold1365-size77360-snap-gene-0.54,0.743340055185238,6.20497531187036,44.9281746018207,2.50997862315946e-05,0.00312509071774174
maker-scaffold787-size133522-snap-gene-0.24,-0.691673674416189,8.4315279768334,44.759376131776,2.55493653859641e-05,0.00313921018387017
maker-scaffold339-size100693-snap-gene-0.9,-2.04597507301991,6.70447054355526,45.1212633913538,2.71837887466373e-05,0.00329665219891037
maker-scaffold20-size272131-augustus-gene-2.28,-3.05229225168831,5.73224350097772,44.9758100373387,2.75945743639237e-05,0.00330356583859384
maker-scaffold35-size133594-snap-gene-0.37,1.23297290646247,4.5449591373945,43.2306282175911,3.00816147017046e-05,0.003526121359509
maker-scaffold568-size93449-augustus-gene-0.44,-1.98398397458057,7.56692333978969,44.1060912996599,3.02087929707346e-05,0.003526121359509
maker-scaffold68-size241440-snap-gene-1.26,1.29057981381786,7.21837181812461,42.9189636930971,3.12841609797803e-05,0.00360656166949616
augustus_masked-scaffold4124-size12261-abinit-gene-0.0,-1.91784966826838,5.56114258228338,43.4585820282945,3.23452468150088e-05,0.0036834135946165
maker-scaffold2056-size10568-augustus-gene-0.7,8.93011701502605,5.83008213501104,43.2434261061232,3.30941285786629e-05,0.00372328882731993
maker-scaffold579-size59575-snap-gene-0.28,-0.942180282305284,5.02920867579081,42.0870148400171,3.40948693167745e-05,0.00375988137075814
maker-scaffold46-size77360-augustus-gene-0.40,0.985121967011716,4.80506588166684,42.052700447957,3.42246644371859e-05,0.00375988137075814
maker-scaffold681-size147983-snap-gene-1.24,-0.681725755565461,8.97058228771681,41.8607103418506,3.49616484244879e-05,0.00379584792404032
maker-scaffold1540-size28586-snap-gene-0.11,-1.03509116465834,5.21933058236236,41.7576209255243,3.5365042770562e-05,0.00379584792404032
maker-scaffold156-size116054-augustus-gene-0.42,-2.49090171879407,7.02650098799199,42.2356713102663,3.68849821214406e-05,0.00385698494160388
maker-scaffold1168-size26903-snap-gene-0.7,0.942880869402673,7.71352522452133,41.3763513401179,3.69051336991095e-05,0.00385698494160388
maker-scaffold79-size113372-augustus-gene-0.54,-0.949440787564268,7.85484798403263,41.3117586961482,3.71737679100824e-05,0.00385698494160388
maker-scaffold25-size146854-snap-gene-0.60,-1.67020149373927,6.39040640478993,41.4621225001226,4.01439876836301e-05,0.00410575099131654
augustus_masked-scaffold1357-size61666-abinit-gene-0.0,-4.86874806768651,3.12038668093318,41.3798911562927,4.05099532089981e-05,0.00410575099131654
maker-scaffold194-size125457-snap-gene-0.25,1.53082269170358,3.94523006573376,40.4696731903698,4.08944077428698e-05,0.00410575099131654
snap_masked-scaffold142-size401332-abinit-gene-2.29,0.975973803568476,3.93900727150116,40.3769661144766,4.13301127847242e-05,0.00410575099131654
maker-scaffold2407-size8868-snap-gene-0.5,0.72329412354424,6.25141462520043,40.2730610061948,4.18249287187368e-05,0.00411117036184804
maker-scaffold39-size136389-snap-gene-0.33,2.44851597797983,2.35712910460951,40.1712547986443,4.23164972224213e-05,0.0041161609485726
maker-scaffold1632-size94032-augustus-gene-0.31,-1.02287447473432,8.06458331656212,39.9200972954992,4.35584491313662e-05,0.00419328657720307
snap_masked-scaffold2565-size28775-abinit-gene-0.5,0.949766306485384,5.65712742436857,39.7536374186039,4.44051355439204e-05,0.00421759017235552
maker-scaffold600-size123458-augustus-gene-0.35,1.90517545241682,4.475493564068,39.6341533009468,4.52593607150886e-05,0.00421759017235552
maker-scaffold2360-size9094-snap-gene-0.4,0.817129308115128,7.90023025497967,39.5378745251194,4.55314766030241e-05,0.00421759017235552
maker-scaffold1236-size68049-augustus-gene-0.22,-1.29464417772654,10.2713708675362,39.4368016280714,4.63012337316128e-05,0.00421759017235552
maker-scaffold2569-size16037-snap-gene-0.18,0.599313084912396,6.57795170302029,39.3684700475294,4.64393277220622e-05,0.00421759017235552
augustus_masked-scaffold1790-size14554-abinit-gene-0.1,-0.666869012689577,6.59935582091053,39.3534464712539,4.65208596865087e-05,0.00421759017235552
maker-scaffold30-size93694-snap-gene-0.31,1.34432798083833,6.20137256603836,39.3116040466642,4.74514084687035e-05,0.00426058896423801
maker-scaffold63-size92361-augustus-gene-0.20,-2.38962203984926,2.36382519871763,39.0106745155621,4.84274534346403e-05,0.00430681485878734
augustus_masked-scaffold195-size50053-abinit-gene-0.8,-0.723150049105003,7.30401812185606,38.725406272275,5.00843073220714e-05,0.00441214397899531
maker-scaffold682-size135829-augustus-gene-1.8,1.77572126113456,6.17325715810095,39.4007738617811,5.0624812576996e-05,0.00441807943779429
augustus_masked-scaffold789-size114743-abinit-gene-0.2,-1.09685222243009,9.154192640908,38.5503906509476,5.11336954358087e-05,0.00442117081462576
augustus_masked-scaffold332-size63888-abinit-gene-0.0,2.58293065391113,6.23398776676092,39.1869017091741,5.18865455369821e-05,0.00443841413744212
maker-scaffold2994-size14862-snap-gene-0.6,-1.09811335243038,8.18938525756658,38.3633593103222,5.22837390360499e-05,0.00443841413744212
maker-scaffold2042-size28187-snap-gene-0.13,-2.42448184494468,2.3027620675656,37.9558277836161,5.48963043832292e-05,0.00449824993339867
augustus_masked-scaffold41-size76970-abinit-gene-0.0,-1.68020322039988,3.26862781542286,37.9509278226728,5.49286353237041e-05,0.00449824993339867
maker-scaffold418-size60252-snap-gene-0.28,0.675151159844129,7.86393141467388,37.9468766691742,5.4955382516204e-05,0.00449824993339867
maker-scaffold578-size84540-augustus-gene-0.17,2.09660223237049,8.45067496140937,38.6865417297903,5.49856690546453e-05,0.00449824993339867
maker-scaffold462-size112638-snap-gene-0.29,2.57229231696802,4.09662262587545,38.6226042661724,5.53971666674713e-05,0.00449824993339867
maker-scaffold730-size88856-snap-gene-0.36,-0.628668752473007,6.7829017539989,37.7966947495294,5.59577985229217e-05,0.00450460278109519
maker-scaffold1062-size56139-augustus-gene-0.21,0.585072652305144,7.394341193828,37.7234410043837,5.64545126673362e-05,0.00450574563493662
maker-scaffold1077-size98301-augustus-gene-0.24,-1.73509169615599,5.82173420408884,38.2595712807032,5.78034528965332e-05,0.00457431053515107
