genes,logFC,logCPM,F,PValue,FDR
augustus_masked-scaffold2421-size18636-abinit-gene-0.1,-2.06108662050269,7.479770761991,426.576083519217,1.49540669141755e-10,1.39641076844571e-06
maker-scaffold110-size75150-augustus-gene-0.30,1.37085770907011,6.45202425433019,233.657487845612,4.4595548865458e-09,1.29890159054924e-05
snap_masked-scaffold185-size46549-abinit-gene-0.4,1.89418250056961,6.05068277959482,226.550112778424,5.29760448603580e-09,1.29890159054924e-05
maker-scaffold1365-size77360-snap-gene-0.54,1.71822718336073,6.20497531187036,224.56371379072,5.56393913278747e-09,1.29890159054924e-05
maker-scaffold617-size41908-augustus-gene-0.10,-1.8771120411865,7.56670236217975,170.802266808143,2.52757272097113e-08,4.38031963239857e-05
maker-scaffold1329-size25114-augustus-gene-0.2,2.52379971810855,7.61011207474683,167.487409534287,2.81451250743108e-08,4.38031963239857e-05
maker-scaffold4202-size6708-snap-gene-0.3,-1.35707497792284,9.72243017619729,143.803289160274,6.46754859847007e-08,8.62770983035908e-05
maker-scaffold3260-size6004-snap-gene-0.4,1.74851223632185,6.51101523087031,139.361721442354,7.66725295652201e-08,8.94960101350032e-05
maker-scaffold1684-size29450-snap-gene-0.28,2.42361706554,5.62761930254363,132.560160058826,1.00497805434387e-07,9.94176475387469e-05
augustus_masked-scaffold175-size93988-abinit-gene-0.5,-1.49362949703535,7.5042419482614,130.148769062659,1.10959577943318e-07,9.94176475387469e-05
maker-scaffold1317-size67552-augustus-gene-0.33,1.67875191824066,5.6384488045802,128.851803154611,1.1711224276357e-07,9.94176475387469e-05
maker-scaffold1070-size36888-augustus-gene-0.17,1.03488384238366,7.56943565787478,124.62922103071,1.40102722424632e-07,0.000100756767912026
augustus_masked-scaffold44-size107355-abinit-gene-0.5,-1.40802580201556,6.98509013256573,122.216285115995,1.55606493795639e-07,0.000100756767912026
augustus_masked-scaffold1484-size34796-abinit-gene-0.0,-1.11311567036369,5.75817442583979,121.572404959904,1.6007766253694e-07,0.000100756767912026
maker-scaffold182-size90750-augustus-gene-0.45,-2.38118949887346,6.93410307258459,122.863951354775,1.61849595061083e-07,0.000100756767912026
maker-scaffold366-size139030-snap-gene-0.25,-1.49599407246378,6.31047348023465,119.511648087159,1.75433859073844e-07,0.000102387586001972
maker-scaffold642-size61208-augustus-gene-0.16,1.79871542462301,6.71445171441699,115.475334288901,2.10810508436048e-07,0.000115796972222107
maker-scaffold656-size92848-augustus-gene-0.23,-1.77567897731195,7.54012025191457,111.588506732513,2.53026877743718e-07,0.000125793818854322
maker-scaffold1234-size69784-snap-gene-0.19,1.31680365259424,8.01245824609129,111.347777906324,2.55952297947325e-07,0.000125793818854322
maker-scaffold1321-size54054-augustus-gene-0.28,-2.30054755111452,8.99999040084779,109.937807136363,2.82092831197644e-07,0.00013170914288618
augustus_masked-scaffold29-size181889-abinit-gene-0.0,1.04663149299843,5.81331404673158,108.00398598992,3.00982890654453e-07,0.000133837058711013
snap_masked-scaffold49-size180569-abinit-gene-1.5,-0.991096372255342,8.31944014666586,104.093333488401,3.65945950459207e-07,0.000154189204156989
snap_masked-scaffold1021-size46816-abinit-gene-0.20,-1.77370660284507,8.04342735899448,103.365698863076,3.79776364918692e-07,0.000154189204156989
maker-scaffold295-size135286-snap-gene-0.53,1.14946545074481,6.35153847658027,102.196302123539,4.03308036006271e-07,0.00015692043500944
maker-scaffold938-size38273-snap-gene-0.23,-1.6230946145795,7.1996477999685,98.4211003858888,4.91825145960642e-07,0.000183706528519219
maker-scaffold955-size30516-augustus-gene-0.2,1.6240415772737,5.06272797122667,96.9835938198,5.31386117956857e-07,0.000190849368056967
