"genes","KL_Temp6_SexF_Rep1","KL_Temp6_SexF_Rep2","KL_Temp6_SexF_Rep3","KL_Temp19_SexF_Rep1","KL_Temp19_SexF_Rep2","KL_Temp19_SexF_Rep3","KL_Temp6_SexM_Rep1","KL_Temp6_SexM_Rep2","KL_Temp6_SexM_Rep3","KL_Temp19_SexM_Rep1","KL_Temp19_SexM_Rep2","KL_Temp19_SexM_Rep3","KL_Temp6_SexF_meanlogcpm","KL_Temp19_SexF_meanlogcpm","KL_Temp6_SexM_meanlogcpm","KL_Temp19_SexM_meanlogcpm"
"augustus_masked-scaffold1-size140626-abinit-gene-0.10",6.40559886255894,6.33970158411822,6.22185904022273,6.65465106829029,6.05778227027114,6.40047169286899,6.4913699278625,6.65741352902204,6.83566186311378,6.75722700374645,6.58453571344901,6.74034911277693,6.3223864956333,6.37096834381014,6.66148177333277,6.69403727665747
"augustus_masked-scaffold1-size140626-abinit-gene-0.6",6.04755207133475,5.87821308352429,5.72353728570569,6.55495315803926,5.87933632879472,6.47378546736551,5.47986642234195,5.40773823710188,5.47488487642209,5.80455969914678,5.72393442359588,5.85201244091244,5.88310081352158,6.30269165139983,5.45416317862198,5.79350218788503
"augustus_masked-scaffold1-size140626-abinit-gene-0.8",6.0564095095973,5.90189131808843,5.89753570847516,6.32235472378361,5.89052935215433,6.17857731778649,5.63736934088788,5.66163022043335,5.72940041135746,5.87819628053719,5.68222485874274,5.60003192262241,5.95194551205363,6.13048713124148,5.67613332422623,5.72015102063411
"augustus_masked-scaffold1-size140626-abinit-gene-1.1",5.16996998159555,4.95515853938029,4.71055110670846,5.61578331930962,4.99953017389915,5.5063084867473,3.23879948613788,3.67975975559608,3.21371072199567,3.23700017228202,3.24787727275764,3.45195807149687,4.94522654256143,5.37387399331869,3.37742332124321,3.31227850551218
"augustus_masked-scaffold1-size140626-abinit-gene-1.6",5.77290517653107,5.77377590967829,5.63842344084759,5.89176411574753,5.25923723741101,5.73336052993906,4.12707694372071,5.20272417542244,5.59379036487255,3.71735966339268,3.59676254389293,4.63874109435915,5.72836817568565,5.6281206276992,4.9745304946719,3.98428776721492
"augustus_masked-scaffold10-size128359-abinit-gene-0.0",8.77465458094483,8.6278723230231,8.61763223794588,9.16458165085449,8.8783481153179,9.14538870646691,8.812394646727,8.51743295934177,8.4403870402342,8.60418300861453,8.79062195195251,8.36417203000725,8.67338638063794,9.0627728242131,8.59007154876766,8.58632566352476
"augustus_masked-scaffold10-size128359-abinit-gene-0.2",7.90837312057411,7.85382657720415,7.88353050745163,7.9342570971321,7.80230404938037,8.10934908041142,7.34022557723027,7.42830833053099,7.23935477931577,7.33915840787624,7.30396284467016,7.34242394152972,7.88191006840997,7.94863674230796,7.33596289569234,7.32851506469204
"augustus_masked-scaffold10-size128359-abinit-gene-0.5",5.07501582314195,5.53178998934354,5.34108244452331,6.20179145673012,7.0451374982827,5.32476498936474,6.43494493852312,6.16013428231064,6.11294525322588,6.61173844024153,6.65048577292417,6.63174968326419,5.31596275233627,6.19056464812585,6.23600815801988,6.6313246321433
"augustus_masked-scaffold10-size128359-abinit-gene-0.6",4.12842296519414,4.60316199453553,4.04936588321362,4.18421336762071,4.9463789423809,3.90555496663836,5.11565962870296,4.89964608872745,5.0617784037044,4.85722484281055,5.19652100005816,4.78755290370931,4.26031694764776,4.34538242554666,5.02569470704494,4.94709958219267
"augustus_masked-scaffold1006-size83466-abinit-gene-0.0",4.61943561230098,5.34473002028188,4.86300311313131,3.88015572825284,4.74850759360031,3.85984819388848,3.53478455077261,2.96480121448767,3.28253611701745,1.86441097305753,2.9222053580145,3.03025550374238,4.94238958190472,4.16283717191388,3.26070729409258,2.60562394493813
"augustus_masked-scaffold1007-size26361-abinit-gene-0.0",4.34417583963778,4.67198080151392,4.46949030220787,3.3946205740783,4.17478078898115,4.18329855412935,3.89167947837332,3.65176334073636,3.63061132064886,3.24714293797937,3.52084517914546,3.46511456299153,4.49521564778652,3.91756663906293,3.72468471325285,3.41103422670545
"augustus_masked-scaffold1008-size69378-abinit-gene-0.5",8.65464882622566,8.62303667417377,8.58347588912418,8.80274633769608,8.3387545408579,8.69356842223367,8.91258530521952,8.90175574296692,8.94523798906745,8.8929725278099,8.9254581893667,9.00338417959534,8.62038712984121,8.61168976692922,8.91985967908463,8.94060496559065
"augustus_masked-scaffold1008-size69378-abinit-gene-0.6",3.70642444518238,4.37720745337908,4.50728285590644,4.33665059160669,5.49539734115761,3.6088149975969,7.37628712866873,7.38219626835686,7.22973888399294,7.33856561841951,7.27041133440651,7.15927370198737,4.19697158482263,4.48028764345373,7.32940742700618,7.25608355160446
"augustus_masked-scaffold1008-size69378-abinit-gene-0.9",6.47207970147949,6.39980804671731,6.44489726433166,6.77792087499478,6.79328083693843,6.74241397497057,6.57250253811336,6.29143654815826,6.53126613546962,6.99885058850332,6.73210734301063,6.91669928403404,6.43892833750949,6.77120522896792,6.46506840724708,6.88255240518266
"augustus_masked-scaffold101-size120241-abinit-gene-0.0",5.36584143351079,5.12251342700102,5.21310140914961,5.86372367231472,4.98667319150097,5.68881006047929,4.77916312229833,4.80325265244193,4.65395784364151,5.26791900576684,5.07664755824409,5.16076218194571,5.2338187565538,5.51306897476499,4.74545787279393,5.16844291531888
"augustus_masked-scaffold101-size120241-abinit-gene-0.3",0.835253828358993,0.457246608913467,1.21045336208796,-1.18837448151166,-0.0174671423441247,-0.721661694234954,2.55485085341269,1.78915919337833,2.66238871921927,2.16113816590611,1.77227401974719,1.71837026501766,0.834317933120139,-0.642501106030245,2.33546625533676,1.88392748355699
"augustus_masked-scaffold101-size120241-abinit-gene-0.4",7.05407575462376,7.25093891127778,7.19867777532379,8.19788137707707,8.9354972134697,8.1005895987285,7.68648911821566,6.83077624217056,7.4805046568458,8.05901591282971,8.34847696761469,8.24257913905084,7.16789748040845,8.41132272975842,7.332590005744,8.21669067316508
"augustus_masked-scaffold1010-size29458-abinit-gene-0.0",3.46367521019112,3.37386092150304,3.5404137478353,3.44021340035754,3.35988911355717,4.02026843480212,2.80306471647901,2.45087230154468,2.74832334076392,3.21132682902712,2.7618500700735,3.19724535419457,3.45931662650982,3.60679031623894,2.66742011959587,3.05680741776506
"augustus_masked-scaffold1010-size29458-abinit-gene-0.3",5.5541081215091,5.43708218384651,5.53921475030033,5.92174465440726,5.35546566612599,5.7599237008354,4.65993322735342,4.72703988110243,4.88809305718103,4.88347193022709,4.7743649642912,4.85906631091228,5.51013501855198,5.67904467378955,4.75835538854563,4.83896773514352
"augustus_masked-scaffold1011-size29701-abinit-gene-0.0",4.13463206673137,4.70681109755981,4.41603811531162,5.72537648302125,6.52228741137075,4.69269408751862,5.46977272039749,5.54089830642675,5.82972719124027,6.2532249249799,6.13075319885901,6.15233334562671,4.41916042653427,5.64678599397021,5.61346607268817,6.17877048982187
"augustus_masked-scaffold1011-size29701-abinit-gene-0.1",0.963567453073787,2.10195999014902,2.49726690183039,2.52042932147235,3.75231402213945,1.45700695261005,3.70089445151091,3.92169303489832,3.33440006849557,3.90841754176355,4.12709800534969,3.86977738199994,1.8542647816844,2.57658343207395,3.65232918496827,3.96843097637106
"augustus_masked-scaffold1015-size19200-abinit-gene-0.1",1.49833402041823,1.75616412505237,1.25062065487421,0.920941610598858,1.99239377958021,0.445021013138228,7.35376095572696,7.40578578517655,7.42776129281403,7.70816897767395,7.6081668099652,7.51997091347375,1.5017062667816,1.1194521344391,7.39576934457251,7.6121022337043
