,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,FPKM_M,FPKM_F
FBgn0206566,31828.0743094954,-7.20174833154606,0.452655519241324,-15.9099978359186,5.40153612151123e-57,7.44061600738172e-53,15.4360696921181,2599.66478827425
FBgn0016474,44249.7182031482,-6.78579054319388,0.505496835712582,-13.4240020189804,4.37437539891605e-41,3.01285105600343e-37,27.4560586295872,3378.32338167053
FBgn0209717,5237.0287216225,5.71316123990361,0.438663649187954,13.0240133881157,8.93484831758241e-39,4.10258451915659e-35,121.314932665903,2.67894969768684
FBgn0203358,1836.78873195411,5.92871198456735,0.46625540882287,12.7155886502963,4.84447580865713e-37,1.6683163566063e-33,109.623943863662,2.05509026595749
FBgn0207835,46468.5284322886,6.07529022367689,0.47963785812558,12.6664109614263,9.07734189927001e-37,2.08400641104074e-33,2534.77696782175,44.0013361480327
FBgn0209720,7819.48476027246,5.67401646724745,0.447482909221183,12.6798506721133,7.64774260284449e-37,2.08400641104074e-33,280.874696218807,6.41773463834944
FBgn0282658,3944.90076841608,5.74640646285198,0.454265020837943,12.6498986258112,1.12019267307082e-36,2.20437915307864e-33,261.956485295268,5.64105740445529
FBgn0197765,2425.7731601648,5.74120506985174,0.455178542853443,12.6130837228421,1.7885530100107e-36,3.07966471411217e-33,94.5855470902344,2.03972175655779
FBgn0208181,1654.99033648229,5.79132398490808,0.46212625388424,12.5319086207095,4.99460304617735e-36,7.64451744012145e-33,73.5485225682528,1.5278758241956
FBgn0208724,2441.73101614789,5.75777329688224,0.460638755277847,12.499541627602,7.50829510184376e-36,1.03426765027898e-32,172.732605826227,3.69129757946885
FBgn0202745,4358.74185278589,5.78524687646253,0.463377899891746,12.4849434507215,9.02074072178962e-36,1.0355058620221e-32,223.348295047933,4.64882414314983
FBgn0207853,2092.59423420688,5.61209472548582,0.44948486649608,12.4856144084103,8.94501402795728e-36,1.0355058620221e-32,270.834062825926,6.40631156971173
FBgn0198164,10223.2027222927,5.91476984820404,0.474548510082399,12.4639941387173,1.17343031258282e-35,1.24338481198679e-32,945.487210896269,18.3940084359131
FBgn0211069,2564.94755256705,6.57644434983357,0.528640149644778,12.4403043436119,1.57901130990923e-35,1.55363434242854e-32,281.663473582058,3.48234890680445
FBgn0211557,6625.33367093141,5.7533988091793,0.463157533368853,12.4221207573393,1.98235853373883e-35,1.82046592015016e-32,831.68021481089,17.614605587308
FBgn0209489,18790.3342280041,5.90581184343609,0.478401192456146,12.3448936511116,5.1902779185076e-35,4.46850489546513e-32,950.969909790997,18.553555840005
FBgn0211755,2084.09877797457,6.21399908724626,0.504933684459961,12.30656475987,8.35022758841839e-35,6.76614029590961e-32,237.392327172877,3.79159053593709
FBgn0198607,1444.87617565175,5.81633481887031,0.47282435129002,12.3012590256856,8.91732297278427e-35,6.82422910833907e-32,125.219060927618,2.57511993304881
FBgn0202505,6286.00783941875,5.60256530032689,0.456783439357231,12.2652548617144,1.39173702300344e-34,9.85229042035717e-32,393.395220063717,9.37927100978555
FBgn0203808,2246.65289625296,5.78249111089688,0.471538459325753,12.2630317772281,1.43045958916257e-34,9.85229042035717e-32,171.680061157461,3.64648974531875
FBgn0204962,1950.97765329592,5.69129233563545,0.464448466675931,12.2538725907917,1.60161224806945e-34,1.05058136748365e-31,116.302516013026,2.61186402992572
FBgn0210440,3097.82898348037,5.75688301463236,0.470503720861421,12.2355738315786,2.00681550194991e-34,1.25654016088e-31,113.222642000763,2.44549673587966
