Gene_name,KL_Temp19_SexF_Rep1,KL_Temp19_SexF_Rep2,KL_Temp19_SexF_Rep3,KL_Temp19_SexM_Rep1,KL_Temp19_SexM_Rep2,KL_Temp19_SexM_Rep3,KL_Temp6_SexF_Rep1,KL_Temp6_SexF_Rep2,KL_Temp6_SexF_Rep3,KL_Temp6_SexM_Rep1,KL_Temp6_SexM_Rep2,KL_Temp6_SexM_Rep3
augustus_masked-scaffold1-size140626-abinit-gene-0.10,3877,3049,4697,3251,3248,3198,5616,4158,3425,3179,2458,3526
augustus_masked-scaffold1-size140626-abinit-gene-0.6,3618,2694,4942,1679,1788,1727,4381,3019,2424,1576,1033,1372
augustus_masked-scaffold1-size140626-abinit-gene-0.8,3079,2715,4027,1767,1737,1450,4408,3069,2735,1758,1232,1637
augustus_masked-scaffold1-size140626-abinit-gene-1.1,1886,1463,2526,282,320,326,2383,1591,1200,332,311,285
augustus_masked-scaffold1-size140626-abinit-gene-1.6,2284,1752,2957,394,408,744,3621,2808,2285,616,896,1490
augustus_masked-scaffold10-size128359-abinit-gene-0.0,22092,21553,31502,11699,14993,9859,29026,20319,18034,15892,8926,10727
augustus_masked-scaffold10-size128359-abinit-gene-0.2,9415,10222,15361,4867,5349,4855,15921,11881,10841,5727,4195,4665
augustus_masked-scaffold10-size128359-abinit-gene-0.5,2832,6047,2227,2939,3400,2966,2231,2374,1859,3057,1741,2136
augustus_masked-scaffold10-size128359-abinit-gene-0.6,698,1410,831,870,1240,825,1156,1246,758,1224,726,1030
augustus_masked-scaffold10-size128359-abinit-gene-0.7,1,1,0,7481,7205,7173,3,1,0,5908,4350,6122
augustus_masked-scaffold10-size128359-abinit-gene-1.1,0,2,0,0,0,0,0,0,0,1,2,0
augustus_masked-scaffold1002-size30599-abinit-gene-0.1,0,0,0,603,525,479,1,0,0,507,415,583
augustus_masked-scaffold1002-size30599-abinit-gene-0.2,0,0,1,1450,1444,1360,1,0,0,1321,968,1214
augustus_masked-scaffold10022-size1141-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1003-size39306-abinit-gene-0.2,4,8,0,0,4,3,1,3,5,6,1,1
augustus_masked-scaffold1006-size83466-abinit-gene-0.0,565,1229,805,108,255,243,1626,2085,1334,408,189,299
augustus_masked-scaffold1007-size26361-abinit-gene-0.0,403,825,1008,284,387,329,1343,1307,1015,523,305,381
augustus_masked-scaffold1008-size69378-abinit-gene-0.5,17191,14827,23031,14292,16462,15356,26709,20251,17612,17035,11651,15222
augustus_masked-scaffold1008-size69378-abinit-gene-0.6,776,2064,676,4865,5226,4276,862,1065,1042,5872,4063,4634
augustus_masked-scaffold1008-size69378-abinit-gene-0.9,4223,5078,5954,3844,3598,3614,5881,4335,3998,3363,1907,2855
augustus_masked-scaffold10084-size1135-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold101-size120241-abinit-gene-0.0,2240,1450,2867,1157,1141,1069,2730,1787,1701,969,679,776
augustus_masked-scaffold101-size120241-abinit-gene-0.3,15,43,31,133,114,97,115,68,104,206,83,194
augustus_masked-scaffold101-size120241-abinit-gene-0.4,11303,22424,15268,8017,11035,9062,8805,7822,6743,7281,2772,5514
augustus_masked-scaffold1010-size29458-abinit-gene-0.0,416,468,900,277,228,273,728,530,532,245,132,206
augustus_masked-scaffold1010-size29458-abinit-gene-0.3,2332,1873,3012,886,925,867,3111,2223,2133,892,644,913
augustus_masked-scaffold1011-size29701-abinit-gene-0.0,2035,4208,1436,2292,2371,2127,1161,1339,978,1565,1133,1755
augustus_masked-scaffold1011-size29701-abinit-gene-0.1,219,615,150,450,590,436,126,218,257,458,368,310
augustus_masked-scaffold1011-size29701-abinit-gene-0.3,0,3,0,0,0,6,1,1,0,0,0,0
augustus_masked-scaffold10146-size1127-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1015-size19200-abinit-gene-0.1,71,180,73,6286,6605,5491,184,171,107,5781,4130,5316
augustus_masked-scaffold1018-size132708-abinit-gene-0.3,0,0,0,0,3,0,0,0,0,0,0,2
augustus_masked-scaffold1018-size132708-abinit-gene-0.5,704,1459,581,1162,1740,1365,1817,1295,909,1804,1386,1738
augustus_masked-scaffold1018-size132708-abinit-gene-0.8,10798,23255,12549,18312,12495,15032,13201,14696,7142,8958,8733,10931
augustus_masked-scaffold10184-size1123-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-0.1,1607,1559,2333,2608,2353,2233,1968,1562,1396,2044,1337,1838
augustus_masked-scaffold1019-size110373-abinit-gene-0.2,3900,4046,4675,4981,4973,4842,4530,3392,3001,4121,3508,4190
augustus_masked-scaffold1019-size110373-abinit-gene-0.3,585,670,857,600,639,506,1112,647,593,463,316,413
augustus_masked-scaffold1019-size110373-abinit-gene-0.4,2313,1724,2435,681,831,730,2686,1758,1754,860,656,715
