gene_name,CT_F_logFC,CT_F_FDR,CT_M_logFC,CT_M_FDR,CT_SB_inter_logFC,CT_SB_inter_FDR,SB_6_logFC,SB_6_FDR,SB_6_sexbias,SB_19_logFC,SB_19_FDR,SB_19_sexbias,Dvir_FBN,Dvir_FBsym,vir_log2FoldChange,vir_padj,vir_sexbias,Dmel_FBN,Dmel_FBsym,david_B1,david_B2,david_B3,david_B4,david_B5,david_B6,david_B7,david_B8,david_B9,david_B10,david_B11,david_B12,david_F1,david_F2,david_M1,david_M2,david_M3,david_M4,david_M5,david_M6,david_I1
augustus_masked-scaffold1-size140626-abinit-gene-0.10,-0.066837877,0.76912339,-0.027805418,0.921263702,-0.039032459,0.956416164,-0.343984394,0.049638133,male_biased,-0.304951935,0.078782664,Unbiased,FBgn0201005,Dvir\GJ13786,-0.149591677,0.924983482,Unbiased,FBgn0267330,KdelR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1-size140626-abinit-gene-0.6,-0.44339566,0.084054075,-0.340081212,0.183204238,-0.103314447,0.895736403,0.435107193,0.026182707,female_biased,0.53842164,0.009352706,female_biased,FBgn0041650,Dvir\TfIIB,-0.190183125,0.886757259,Unbiased,FBgn0004915,TfIIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1-size140626-abinit-gene-0.8,-0.187535451,0.314080709,-0.048283817,0.837322261,-0.139251634,0.811743952,0.277532345,0.061572971,Unbiased,0.416783979,0.010369722,female_biased,FBgn0200994,Dvir\GJ13775,-0.34801267,0.726005084,Unbiased,FBgn0032246,Wdfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1-size140626-abinit-gene-1.1,-0.440575732,0.149062252,0.076584263,0.839589267,-0.517159995,0.517537988,1.570121485,2.48E-05,female_biased,2.08728148,2.22E-06,female_biased,FBgn0201113,Dvir\GJ13894,-1.533026327,0.060612881,Unbiased,FBgn0032329,Art8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1-size140626-abinit-gene-1.6,0.077796883,0.892538238,1.034125578,0.076132382,-0.956328695,0.488510413,0.635670052,0.11583362,Unbiased,1.591998747,0.00176721,female_biased,FBgn0201795,Dvir\GJ14588,-1.835159622,0.000907113,female_biased,FBgn0032256,RluA-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold10-size128359-abinit-gene-0.0,-0.393391248,0.083605093,0.002378165,0.993830213,-0.395769413,0.468910302,0.076012153,0.63161421,Unbiased,0.471781566,0.009747632,female_biased,FBgn0198740,Dvir\GJ11482,-1.083213301,0.383144314,Unbiased,FBgn0035811,CG12262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold10-size128359-abinit-gene-0.2,-0.072097443,0.629745468,0.00936054,0.961039299,-0.081457983,0.862137954,0.544245224,0.000366475,female_biased,0.625703207,0.000117614,female_biased,FBgn0198742,Dvir\GJ11484,-1.595122273,0.022880382,female_biased,FBgn0036570,IntS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold10-size128359-abinit-gene-0.5,-1.02894861,0.058550189,-0.388271241,0.452748223,-0.640677369,0.628273408,-0.916423585,0.021206199,male_biased,-0.275746216,0.439514676,Unbiased,FBgn0207649,Dvir\GJ20509,-0.229239985,0.873135885,Unbiased,FBgn0033320,CG8586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold10-size128359-abinit-gene-0.6,-0.133350378,0.730687699,0.070346054,0.882629374,-0.203696432,0.865419837,-0.748608438,0.017774724,male_biased,-0.544912005,0.068674974,Unbiased,FBgn0208952,Dvir\GJ21834,-0.021120685,0.98977348,Unbiased,FBgn0033321,CG8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1006-size83466-abinit-gene-0.0,0.750168415,0.150656155,0.59167647,0.282261146,0.158491946,0.927685668,1.697847048,0.000891338,female_biased,1.539355102,0.001772165,female_biased,FBgn0211248,Dvir\GJ24164,-0.727865791,0.407974015,Unbiased,FBgn0037553,CG18249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
